Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/VC4000/Manuals/Air-Sea Battle.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FAir-Sea%20Battle.pdf,1964061,d74ac3e12a52e7cdd4e97a0730569128,,,Air-Sea Battle.pdf
docs/VC4000/Manuals/Attack (Reversi).pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FAttack%20%28Reversi%29.pdf,2116483,58d0c5b4c5b38113757b09f35231009a,,,Attack (Reversi).pdf
docs/VC4000/Manuals/Backgammon.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FBackgammon.pdf,1705565,f402395f0c4a8c1adbfd869656f178ec,,,Backgammon.pdf
docs/VC4000/Manuals/Blackjack.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FBlackjack.pdf,2075622,06da6d38fee51a742599f2a14f65ba33,,,Blackjack.pdf
docs/VC4000/Manuals/Bowling + Ninepins.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FBowling%20%2B%20Ninepins.pdf,2115231,fe0d568b2bc0b9c27924e41a46ce8523,,,Bowling + Ninepins.pdf
docs/VC4000/Manuals/Boxing Match.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FBoxing%20Match.pdf,2547002,1ebb3abfc06c4a7cc4c3802a73fadcad,,,Boxing Match.pdf
docs/VC4000/Manuals/Car Races.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FCar%20Races.pdf,3316733,c0e2bc9be34d4fdd46597c33d7bea23c,,,Car Races.pdf
docs/VC4000/Manuals/Casino.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FCasino.pdf,2073922,eeb92dabc24e482ab6b564a5e22d7cb9,,,Casino.pdf
docs/VC4000/Manuals/Chess .pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FChess%20.pdf,1331288,307e826fbd9f96d564d67d113dd712a5,,,Chess .pdf
docs/VC4000/Manuals/Chess 2.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FChess%202.pdf,1517861,192461bd664f328a8a40e3e484635814,,,Chess 2.pdf
docs/VC4000/Manuals/Circus.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FCircus.pdf,2017578,cb124e5de468d7780800ad05362a7d7b,,,Circus.pdf
docs/VC4000/Manuals/Cockpit.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FCockpit.pdf,1268353,bd223a95d4f9e1c6bd55abd840df3251,,,Cockpit.pdf
docs/VC4000/Manuals/Come-Frutas.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FCome-Frutas.pdf,29500,3da95f4fc853594c17ac40c0522f0829,,,Come-Frutas.pdf
docs/VC4000/Manuals/Cowboy.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FCowboy.pdf,1742369,3405dbfeeb771aaeae57bcddfb83b723,,,Cowboy.pdf
docs/VC4000/Manuals/Draughts.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FDraughts.pdf,1637835,1d00bf89d934fc5401c3be57c860ba73,,,Draughts.pdf
docs/VC4000/Manuals/Flag Capture.pdf,https://archive.org/download/mister-manuals/1978_Interton%20VC4000.zip/1978_Interton%20VC4000%2FFlag%20Capture.pdf,2024344,44d5e1836eb9f92fddbe4596253b530c,,,Flag Capture.pdf
